Rank,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Vol_MC_Ratio,Cap_Category
25,Sui,0.9334,0.57,0.66,0.5,3740000000.0,370797991.0,0.09914384786096257,Mid Cap
26,Toncoin,1.37,0.22,2.58,5.44,3710000000.0,120784612.0,0.03255649919137466,Mid Cap
27,Shiba Inu,0.05621,0.36,0.04,0.56,3660000000.0,142074446.0,0.03881815464480874,Mid Cap
28,MemeCore,2.64,0.49,12.11,33.71,3430000000.0,55120406.0,0.016070089212827987,Mid Cap
29,PayPal USD,0.9997,0.01,0.01,0.01,3400000000.0,78545542.0,0.02310163,Mid Cap
30,Bittensor,284.96,0.27,1.06,13.67,3100000000.0,272879362.0,0.0880256006451613,Mid Cap
31,Cronos,0.0684,0.2,0.33,2.23,2980000000.0,7279027.0,0.0024426265100671142,Mid Cap
32,Tether Gold,4572.78,0.27,0.91,2.29,2710000000.0,213320298.0,0.07871597712177122,Mid Cap
33,Global Dollar,0.9998,0.01,0.01,0.0,2500000000.0,39256084.0,0.0157024336,Mid Cap
34,PAX Gold,4572.54,0.27,0.96,2.34,2190000000.0,164802623.0,0.07525233926940639,Mid Cap
35,Mantle,0.6407,0.35,1.21,0.34,2120000000.0,35600918.0,0.016792885849056603,Mid Cap
36,Uniswap,3.3,0.82,1.98,0.61,2100000000.0,252717236.0,0.12034154095238095,Mid Cap
37,Polkadot,1.22,0.52,1.84,0.62,2069999999.9999998,163743811.0,0.07910329033816427,Mid Cap
38,World Liberty Financial,0.06261,1.82,10.67,15.09,1990000000.0,149251501.0,0.07500075427135679,Mid Cap
39,Sky,0.07947,0.52,1.44,10.66,1840000000.0,13766706.0,0.007481905434782609,Mid Cap
40,Pi,0.1771,0.74,0.14,3.63,1840000000.0,19478498.0,0.010586140217391304,Mid Cap
41,OKB,85.29,0.44,0.54,1.47,1790000000.0,29920490.0,0.016715357541899442,Mid Cap
42,Aster,0.6787,0.69,1.16,3.82,1770000000.0,158993587.0,0.08982688531073446,Mid Cap
43,Pepe,0.054027,0.57,1.56,3.42,1670000000.0,418369324.0,0.25052055329341316,Mid Cap
44,NEAR Protocol,1.26,0.96,0.56,8.07,1640000000.0,141815138.0,0.08647264512195121,Mid Cap
45,Ripple USD,0.9999,0.01,0.01,0.01,1550000000.0,195964447.0,0.12642867548387096,Mid Cap
46,Ondo,0.3109,0.27,11.58,17.47,1510000000.0,221107971.0,0.14642911986754967,Mid Cap
47,USDD,0.9995,0.05,0.05,0.08,1480000000.0,4798098.0,0.003241958108108108,Mid Cap
48,Bitget Token,2.04,0.19,1.83,3.13,1430000000.0,18239216.0,0.012754696503496504,Mid Cap
49,Aave,92.84,0.47,0.35,6.12,1430000000.0,308875373.0,0.21599676433566434,Mid Cap
50,Ethereum Classic,8.79,1.25,4.07,4.39,1380000000.0,67274870.0,0.04874990579710145,Mid Cap
51,Internet Computer,2.37,0.48,1.19,2.77,1310000000.0,50482484.0,0.038536247328244275,Mid Cap
52,KuCoin Token,8.41,0.41,0.26,0.87,1130000000.0,11544305.0,0.010216199115044247,Mid Cap
53,United Stables,0.9996,0.01,0.03,0.03,1050000000.0,135477362.0,0.12902605904761905,Mid Cap
54,Polygon (prev. MATIC),0.09739,1.39,0.96,5.46,1040000000.0,48808545.0,0.04693129326923077,Mid Cap
55,Algorand,0.1132,0.09,1.2,2.71,1010000000.0,45090124.0,0.04464368712871287,Mid Cap
56,Render,1.83,0.97,1.43,2.12,953750000.0,60814686.0,0.06376375989515072,Small Cap
57,Cosmos,1.87,0.06,0.59,5.71,949290000.0,58103777.0,0.06120761516501807,Small Cap
58,Kaspa,0.03368,0.1,1.09,0.51,923420000.0,21603741.0,0.023395357475471616,Small Cap
